id,st_title,st_abstract,st_year
s11057,"construction of a genetically defined salmonella typhi ty2 aroa, aroc mutant for the engineering of a candidate oral typhoid-tetanus vaccine.","construction of a genetically defined salmonella typhi ty2 aroa, aroc mutant for the engineering of a candidate oral typhoid-tetanus vaccine.. The construction of a Salmonella typhi Ty2 strain harbouring defined deletions in both the aroA and aroC genes is described. These deletions have been fully defined at the molecular level by DNA sequencing and have been introduced in such a way that no foreign DNA remains in the S. typhi genome. This strain is attenuated in mice when given by the intraperitoneal route suspended in hog gastric mucin and is attenuated to a similar level to strains harbouring deletions in aroA or aroC alone indicating that both lesions are capable of attenuating independently. We have used this defined S. typhi aroA aroC strain to express stably a non-toxic 50 kDa fragment of tetanus toxin (fragment C) from a gene incorporated into the chromosome. This strain has the advantage of harbouring no antibiotic-resistance markers and we consider it to be a candidate bivalent oral typhoid-tetanus vaccine.",1992
s11120,comparison of a dengue-2 virus and its candidate vaccine derivative: sequence relationships with the flaviviruses and other viruses.,"comparison of a dengue-2 virus and its candidate vaccine derivative: sequence relationships with the flaviviruses and other viruses.. A comparison of the sequence of the dengue-2 16681 virus with that of the candidate vaccine strain (16681-PDK53) derived from it identified 53 of the 10,723 nucleotides which differed between the strains. Nucleotide changes occurred in genes coding for all virion and nonvirion proteins, and in the 5' and 3' untranslated regions. Twenty-seven of the nucleotide changes resulted in amino acid alterations. The greatest amino acid sequence differences in the virion proteins occurred in prM (2.20%; 2/91 amino acids) followed by the M protein (1.33%; 1/75 amino acids), the C protein (0.88%; 1/114 amino acid), and the E protein (0.61%; 3/495 amino acids). Differences in the amino acid sequence of nonvirion proteins ranged from 1.51% (6/398 amino acids) in NS4 to 0.33% (3/900 amino acids) in NS5. The encoded protein sequences of 16681-PDK53 were also compared with the published sequences of other flaviviruses to obtain a detailed classification of 17 flaviviruses using the neighbor-joining tree method. The analyses of the sequence data produced dendrograms which supported the traditional groupings based on serological evidence, and they suggested that the flaviviruses have evolved by divergent mutational change and there was no evidence of genetic recombination between members of the group. Comparisons of the sequences of the flavivirus polymerase and helicase-like proteins (NS5 and NS3, respectively) with those from other viruses yielded a classification of the flaviviruses indicating that the primary division of the flaviviruses was between those transmitted by mosquitoes and those transmitted by ticks.",1992
s11144,surface presentation of shigella flexneri invasion plasmid antigens requires the products of the spa locus.,"surface presentation of shigella flexneri invasion plasmid antigens requires the products of the spa locus.. An avirulent, invasion plasmid insertion mutant of Shigella flexneri 5 (pHS1059) was restored to the virulence phenotype by transformation with a partial HindIII library of the wild-type invasion plasmid constructed in pBR322. Western immunoblot analysis of pHS1059 whole-cell lysates revealed that the synthesis of the invasion plasmid antigens VirG, IpaA, IpaB, IpaC, and IpaD was similar to that seen in the corresponding isogenic S. flexneri 5 virulent strain, M90T. IpaB and IpaC, however, were not present on the surface of pHS1059 as was found in M90T, suggesting that the transport or presentation of the IpaB and IpaC proteins onto the bacterial surface was defective in the mutant. pHS1059 was complemented by pWR266, which carried contiguous 1.2- and 4.1-kb HindIII fragments of the invasion plasmid. pHS1059(pWR266) cells were positive in the HeLa cell invasion assay as well as colony immunoblot and enzyme-linked immunosorbent assays, using monoclonal antibodies to IpaB and IpaC. These studies established that the antigens were expressed on the surface of the transformed bacteria. In addition, water extraction of pHS1059 and pHS1059(pWR266) whole cells, which can be used to remove IpaB and IpaC antigens from the surface of wild-type M90T bacteria, yielded significant amounts of these antigens from pHS1059(pWR266) but not from pHS1059. Minicell and DNA sequence analysis indicated that several proteins were encoded by pWR266, comprising the spa loci, which were mapped to a region approximately 18 kb upstream of the ipaBCDAR gene cluster. Subcloning and deletion analysis revealed that more than one protein was involved in complementing the Spa- phenotype in pHS1059. One of these proteins, Spa47, showed striking homology to ORF4 of the Bacillus subtilis flaA locus and the fliI gene sequence of Salmonella typhimurium, both of which bear strong resemblance to the alpha and beta subunits of bacterial, mitochondrial, and chloroplast proton-translocating F0F1 ATPases.",1992
s11195,cd28 and t cell antigen receptor signal transduction coordinately regulate interleukin 2 gene expression in response to superantigen stimulation.,"cd28 and t cell antigen receptor signal transduction coordinately regulate interleukin 2 gene expression in response to superantigen stimulation.. Activation of an immune response requires intercellular contact between T lymphocytes and antigen-presenting cells (APC). Interaction of the T cell antigen receptor (TCR) with antigen in the context of major histocompatibility molecules mediates signal transduction, but T cell activation appears to require the induction of a second costimulatory signal transduction pathway. Recent studies suggest that interaction of CD28 with B7 on APC might deliver such a costimulatory signal. To investigate the role of CD28 signal transduction during APC-dependent T cell activation, we have used Staphylococcal enterotoxins (SEs) presented by a B7-positive APC. We used anti-B7 monoclonal antibodies and a mutant interleukin 2 (IL-2) promoter construct, unresponsive to CD28-generated signals, in transient transfection assays to examine the contribution of the CD28-B7 interaction to IL-2 gene activation. These studies indicate that the CD28-regulated signal transduction pathway is activated during SE stimulation of T cells and plays an important role in SE induction of IL-2 gene expression through its influence upon the CD28-responsive element contained within the IL-2 gene promoter. This effect is particularly profound in the activation of the IL-2 gene in peripheral blood T cells.",1992
s11213,use of gene probes based on the insertion sequence is986 to differentiate between bcg vaccine strains.,"use of gene probes based on the insertion sequence is986 to differentiate between bcg vaccine strains.. Gene probes derived from the insertion sequence IS986, which have previously been shown to differentiate isolates of Mycobacterium tuberculosis for epidemiological analysis, are also capable of distinguishing two groups of BCG vaccine strains. Most BCG strains have a single copy of IS986, at the same chromosomal site, while the Brazilian, Japanese and USSR strains have an additional copy at a different, common location. These results correlate with the results of previous antigenic analysis and may reflect a different clonal origin of the two groups of BCG strains.",1992
s11260,recombinant vaccine for canine parvovirus in dogs.,"recombinant vaccine for canine parvovirus in dogs.. VP2 is the major component of canine parvovirus (CPV) capsids. The VP2-coding gene was engineered to be expressed by a recombinant baculovirus under the control of the polyhedrin promoter. A transfer vector that contains the lacZ gene under the control of the p10 promoter was used in order to facilitate the selection of recombinants. The expressed VP2 was found to be structurally and immunologically indistinguishable from authentic VP2. The recombinant VP2 shows also the capability to self-assemble, forming viruslike particles similar in size and appearance to CPV virions. These viruslike particles have been used to immunize dogs in different doses and combinations of adjuvants, and the anti-CPV responses have been measured by enzyme-linked immunosorbent assay, monolayer protection assays, and an assay for the inhibition of hemagglutination. A dose of ca. 10 micrograms of VP2 was able to elicit a good protective response, higher than that obtained with a commercially available, inactivated vaccine. The results indicate that these viruslike particles can be used to protect dogs from CPV infection.",1992
s11267,an early event in murine cytomegalovirus replication inhibits presentation of cellular antigens to cytotoxic t lymphocytes.,"an early event in murine cytomegalovirus replication inhibits presentation of cellular antigens to cytotoxic t lymphocytes.. Cytomegalovirus (CMV) infection of simian virus 40 (SV40)-immune mice inhibits priming of SV40-specific helper and cytotoxic T lymphocytes (CTL) in vivo (A. E. Campbell, J. S. Slater, and W. S. Futch, Virology 173:268-275, 1989; J. S. Slater, W. S. Futch, V. J. Cavanaugh and A. E. Campbell, Virology 185:132-139, 1991). We now demonstrate that murine CMV (MCMV) infection of SV40-transformed macrophages and fibroblasts prevents presentation of SV40 T antigen to SV40-specific CTL. MCMV-infected macrophages failed to stimulate SV40-immune CTL precursors in vitro. In addition, MCMV-infected, SV40-transformed macrophage and fibroblast target cells lost their susceptibility to lysis by major histocompatibility complex class I-restricted, SV40-specific CTL clones. MCMV infection did not alter the synthesis of SV40 T antigen in the target cells. MCMV early gene expression was required for inhibition of SV40 T-antigen presentation; immediate-early gene expression was insufficient for this effect. Early viral gene expression also resulted in significant reduction of H-2K and H-2D molecules on the surface of MCMV-infected fibroblasts. However, this reduction occurred independently from suppression of antigen presentation to CTL. The same target cells which were resistant to lysis by SV40 CTL were susceptible to lysis by MCMV-specific CTL. MCMV early gene products therefore interfere with the processing and/or presentation of SV40 T-antigen determinants to CTL independent of alterations in the major histocompatibility complex.",1992
s11756,the use of feline herpesvirus and baculovirus as vaccine vectors for the gag and env genes of feline leukaemia virus.,the use of feline herpesvirus and baculovirus as vaccine vectors for the gag and env genes of feline leukaemia virus.. The env and gag genes from feline leukaemia virus were expressed in a thymidine kinase-negative feline herpes-virus and a baculovirus. Cats were vaccinated with various combinations of these recombinant viruses and 100% protection against feline leukaemia virus challenge was achieved using an immunization schedule which utilized both env and gag products delivered at both a mucosal and systemic site.,1992
s11867,relocation of antigens to the cell surface membrane can enhance immune stimulation and protection.,"relocation of antigens to the cell surface membrane can enhance immune stimulation and protection.. The major outer capsid glycoprotein of rotaviruses, VP7, is normally synthesized and directed to the ER, where it is required for virus assembly. By substituting a foreign signal sequence for the VP7 signal peptide, a secreted form of VP7 with an authentic amino terminus was produced. Secreted VP7 was further modified by the addition of a transmembrane anchor and cytoplasmic domain to its C-terminus. When the novel chimeric protein was expressed in transfected cells it became anchored in the cell surface membrane. The antigenicity of the chimeric protein was compared with that of the intracellular form of VP7 using recombinant vaccinia viruses to deliver the antigens in vivo. The novel antigen produced enhanced stimulation of both B and T lymphocytes of the immune system, and in mice it was able to induce protection against rotavirus-induced diarrhoeal disease. Other secreted and intracellular antigens show a similar improved level of antigenicity as a result of their relocation to the cell surface. Surface localization may therefore have general utility in the development of recombinant subunit vaccines.",1992
s12450,blocking elisa for distinguishing infectious bovine rhinotracheitis virus (ibrv)-infected animals from those vaccinated with a gene-deleted marker vaccine.,"blocking elisa for distinguishing infectious bovine rhinotracheitis virus (ibrv)-infected animals from those vaccinated with a gene-deleted marker vaccine.. A sensitive and specific blocking enzyme-linked immunosorbent assay (ELISA) was developed to distinguish infectious bovine rhinotracheitis virus (IBRV)-infected animals from those immunized with a glycoprotein gIII deletion mutant, IBRV(NG)dltkdlgIII. For this ELISA, undiluted test sera are used to block the binding of an anti-IBRV gIII monoclonal antibody (mAbgIII)-horseradish peroxidase (HRPO) conjugate to gIII antigen. TMB substrate is used for color development. Negative S/N values (defined as the absorbance at 650 nm of test sera/absorbance at 650 nm of negative control sera) of > 0.80 were obtained with immune sera from gnotobiotic cattle immunized with several bovine viruses, with bovine antisera to bovine herpesvirus-2, and vesicular stomatitis virus, with porcine antisera to pseudorabies virus and parvovirus, and with normal sera from heterologous species. Negative S/N values were also obtained with sera from rabbits twice vaccinated with IBRV(NG)dltkdlgIII. However, the S/N values became positive (S/N < 0.8) 10 to 17 days after the rabbits were challenge exposed to virulent IBRV(Cooper). Most of 116 sera (84%) from feedlot cattle with virus neutralization (VN) titers of < 1:2 or < 1:4 had negative S/N values > 0.8, but 18 sera with negative VN titers had positive S/N values, consistent with observations indicating that an IBRV outbreak was occurring in one of the feedlot herds. Thirty nine sera (98%) from feedlot cattle with VN titers of 1:2 to 1:128 had positive S/N values (< 0.8). One serum with a VN titer of 1:2 had a borderline (+/-) S/N value of 0.81. After immunization with a commercial gIII-positive IBRV vaccine, 115/116 sera with VN titers of 1:2 to 1:256 had positive S/N values (< 0.8). One serum with a VN titer of 1:2 had a negative S/N value of 0.83. Serum from one vaccinated animal that failed to seroconvert after vaccination (VN < 1:4) showed a strongly positive ELISA S/N of 0.48.",1992
s12471,multiple amino acids in the capsid structure of canine parvovirus coordinately determine the canine host range and specific antigenic and hemagglutination properties.,"multiple amino acids in the capsid structure of canine parvovirus coordinately determine the canine host range and specific antigenic and hemagglutination properties.. Canine parvovirus (CPV) and feline panleukopenia virus (FPV) are over 98% similar in DNA sequence but have specific host range, antigenic, and hemagglutination (HA) properties which were located within the capsid protein gene. In vitro mutagenesis and recombination were used to prepare 16 different recombinant genomic clones, and viruses derived from those clones were analyzed for their in vitro host range, antigenic, and HA properties. The region of CPV from 59 to 91 map units determined the ability to replicate in canine cells. A complex series of interactions was observed among the individual sequence differences between 59 and 73 map units. The canine host range required that VP2 amino acids (aa) 93 and 323 both be the CPV sequence, and those two CPV sequences introduced alone into FPV greatly increased viral replication in canine cells. Changing any one of aa 93, 103, or 323 of CPV to the FPV sequence either greatly decreased replication in canine cells or resulted in an inviable plasmid. The Asn-Lys difference of aa 93 alone was responsible for the CPV-specific epitope recognized by monoclonal antibodies. An FPV-specific epitope was affected by aa 323. Amino acids 323 and 375 together determined the pH dependence of HA. Amino acids involved in the various specific properties were all around the threefold spikes of the viral particle.",1992
s12601,identification and functional analysis of the fowlpox virus homolog of the vaccinia virus p37k major envelope antigen gene.,"identification and functional analysis of the fowlpox virus homolog of the vaccinia virus p37k major envelope antigen gene.. A fowlpox virus (FPV) gene with homology to the vaccinia virus p37K major envelope antigen gene was identified and sequenced. The predicted product has a molecular weight of 43,018 Da (p43K). The FPV p43K gene has 37.5% identity with its vaccinia counterpart and higher homology with a molluscum contagiosum virus gene (42.6% identity). Based on upstream sequences, p43K appears to be regulated as a late gene. Recombinant FPV were generated in which a large portion of p43K was replaced by the Escherichia coli lacZ gene. These recombinants failed to produce visible plaques under standard conditions. After prolonged incubation the microplaques developed into small macroscopic plaques. Plaques were purified on the basis of lacZ expression. Single-cycle growth curves comparing the p43K-deleted recombinant (designated fJd43Z) with parental FPV showed that the two viruses produce identical amounts of intracellular virions, but that fJd43Z released 20-fold fewer infectious particles into the medium. CsCl gradient centrifugation of [3H]thymidine-labeled virus was employed to examine differences in the production of physical particles. The two viruses produced equivalent levels of intracellular virions, but fJd43Z failed to produce detectable levels of released particles. FPV p43K is therefore involved in the release of virions from infected cells.",1992
s12637,antigenic variant of swine influenza virus causing proliferative and necrotizing pneumonia in pigs.,"antigenic variant of swine influenza virus causing proliferative and necrotizing pneumonia in pigs.. A new antigenic variant of swine influenza virus was isolated from the lungs of pigs experiencing respiratory problems in 7 different swine herds in Quebec. Pigs of different ages were affected, and the main clinical signs were fever, dyspnea, and abdominal respiration. Coughing was not a constant finding of the syndrome. At necropsy, macroscopic lesions included the overall appearance of pale animals, general lymphadenopathy, hepatic congestion, and consolidation of the lungs. Histopathologic findings were mainly proliferative pneumonia with a significant macrophage invasion, necrotic inflammatory cells in the alveoli and the airways, a marked proliferation of type II pneumocytes, and thickening of the alveolar septae. Fluorescent antibody examination of lungs of sick piglets did not demonstrate porcine parvovirus, transmissible gastroenteritis virus, or encephalomyocarditis virus. However, evidence of the presence of an influenza type A infection was demonstrated by indirect immunofluorescence (IIF) staining using monoclonal antibody directed to nucleocapsid protein (NP) of human type A influenza virus. The virus was isolated either by intra-allantoic inoculation of specific-pathogen-free embryonating hens' eggs or propagation in canine kidney (MDCK) cells in the presence of trypsin. By hemagglutination inhibition tests, no cross-reactivity was demonstrated with human influenza H1N1, H2N2, and H3N2 strains, and infected MDCK cells did not react by IIF with monoclonal antibodies to NP protein of type B influenza virus. The hemagglutination activity of plaque-purified isolates was only partly inhibited by hyperimmune serum produced to subtypes A/Wisconsin/76/H1N1 and A/New Jersey/76/H1N1 of swine influenza virus. Gnotobiotic piglets that were infected intranasally with egg-adapted isolates of this new antigenic variant of swine influenza virus developed the very same type of lesions observed in field cases.",1992
